GeneID	GSM2476152	GSM2476153	GSM2476154	GSM2476155	GSM2476156	GSM2476157	GSM2476158	GSM2476159	GSM2476160	GSM2476161	GSM2476162
105369853	0	0	0.03127	0.03161	0	0	0	0	0	0	0
105369854	0	0.03727	0	0	0	0.01861	0	0	0	0	0
105369855	0	0	0	0	0	0	0	0	0	0	0
105369856	0	0	0	0	0	0	0	0	0	0	0
89795	2.425	1.244	2.463	3.6	3.452	2.852	0.4832	1.121	0.5814	0.6135	0.6386
105369860	0	0	0	0	0	0	0	0	0	0	0
105369859	0	0	0	0	0	0	0	0	0	0	0
6857	7.125	3.693	2.116	2.613	2.395	1.475	2.253	2.076	1.032	1.518	6.216
105369863	0	0.00831	0	0	0	0	0	0	0	0	0
100302136	0	0	0	0	0	0	0	0	0	0	0.3291
5074	2.579	5.268	4.56	10.38	7.891	12.84	8.572	5.867	18.5	3.448	9.918
105369864	0	0	0.03421	0.03458	0.0342	0.03348	0.03368	0	0.03446	0	0
4659	8.571	15.38	19.21	16.99	21.56	17.03	12.81	18.35	19.6	11.76	16.61
105369865	0.1407	0.2649	0.4978	0.7044	0.327	0.2506	0.28	0.1973	0.4727	0.09638	0.2366
283310	0.007545	0.07848	0.3431	1.221	0.03239	0.01866	0.1257	0.02455	0.048	0.286	0.01679
374462	0.004716	0.009344	0.03574	0.05539	0.009527	0.002332	0.01173	0.01888	4.788	0.579	0.3847
105369867	0	0.05445	0.119	0	0.03173	0.05436	0	0.05503	0.2158	0.06145	0.007765
4618	0	0	0	0	0	0	0	0	0.01657	0	0
4617	0	0	0	0	0	0	0	0	0	0	0
101928420	0	0	0	0	0	0	0	0	0	0	0
8825	0.04901	1.328	0.3927	0.09654	0.5163	0.06579	0.01393	0.04556	0.2851	1.894	0.5159
